,AUC,OOB,TPR,TNR,PPV,NPV,FPR,FNR,FDR,ACC
CD10-CD13,0.57,0.28,0.15,0.89,0.19,0.8,0.11,0.85,0.81,0.74
CD10-CD19,0.5,0.3,0.08,0.92,0.17,0.79,0.08,0.92,0.83,0.75
CD10-CD20,0.59,0.26,0.28,0.92,0.47,0.83,0.08,0.72,0.53,0.79
CD10-CD22,0.6,0.26,0.12,0.91,0.29,0.8,0.09,0.88,0.71,0.75
CD10-CD3,0.52,0.28,0.12,0.95,0.48,0.8,0.05,0.88,0.52,0.78
CD10-CD33,0.53,0.27,0.12,0.89,0.26,0.79,0.11,0.88,0.74,0.73
CD10-CD34,0.81,0.27,0.43,0.94,0.65,0.87,0.06,0.57,0.35,0.83
CD10-CD38,0.58,0.29,0.1,0.9,0.26,0.79,0.1,0.9,0.74,0.73
CD10-CD45,0.54,0.29,0.17,0.87,0.28,0.8,0.13,0.83,0.72,0.72
CD10-CD58,0.66,0.27,0.25,0.9,0.47,0.82,0.1,0.75,0.53,0.76
CD10-CD66,0.6,0.31,0.03,0.94,0.12,0.79,0.06,0.97,0.88,0.76
CD10-IGM,0.54,0.26,0.2,0.91,0.42,0.81,0.09,0.8,0.58,0.77
CD10-cyCD3,0.45,0.31,0.05,0.88,0.15,0.78,0.12,0.95,0.85,0.71
CD10-cyMPO,0.74,0.24,0.33,0.86,0.4,0.83,0.14,0.67,0.6,0.75
CD10-cyTDT,0.52,0.31,0.03,0.9,0.08,0.78,0.1,0.97,0.92,0.72
CD13-CD19,0.48,0.3,0.07,0.9,0.11,0.79,0.1,0.93,0.89,0.72
CD13-CD20,0.59,0.3,0.17,0.86,0.21,0.8,0.14,0.83,0.79,0.72
CD13-CD22,0.44,0.28,0.02,0.9,0.03,0.78,0.1,0.98,0.97,0.72
CD13-CD3,0.54,0.32,0.05,0.91,0.12,0.79,0.09,0.95,0.88,0.73
CD13-CD33,0.6,0.31,0.12,0.89,0.2,0.79,0.11,0.88,0.8,0.73
CD13-CD34,0.67,0.29,0.22,0.9,0.34,0.81,0.1,0.78,0.66,0.76
CD13-CD38,0.46,0.28,0.1,0.89,0.26,0.79,0.11,0.9,0.74,0.72
CD13-CD45,0.49,0.31,0.07,0.94,0.18,0.8,0.06,0.93,0.82,0.76
CD13-CD58,0.5,0.29,0.07,0.9,0.16,0.79,0.1,0.93,0.84,0.73
CD13-CD66,0.56,0.29,0.12,0.91,0.29,0.8,0.09,0.88,0.71,0.75
CD13-IGM,0.55,0.29,0.08,0.9,0.17,0.79,0.1,0.92,0.83,0.73
CD13-cyCD3,0.61,0.28,0.1,0.93,0.24,0.8,0.07,0.9,0.76,0.76
CD13-cyMPO,0.69,0.3,0.33,0.81,0.33,0.83,0.19,0.67,0.67,0.71
CD13-cyTDT,0.56,0.32,0.15,0.87,0.18,0.8,0.13,0.85,0.82,0.72
CD19-CD20,0.68,0.24,0.25,0.92,0.46,0.83,0.08,0.75,0.54,0.78
CD19-CD22,0.66,0.28,0.1,0.92,0.37,0.8,0.08,0.9,0.63,0.75
CD19-CD3,0.63,0.3,0.17,0.92,0.35,0.81,0.08,0.83,0.65,0.76
CD19-CD33,0.53,0.32,0.12,0.84,0.12,0.79,0.16,0.88,0.88,0.69
CD19-CD34,0.62,0.27,0.2,0.9,0.35,0.81,0.1,0.8,0.65,0.75
CD19-CD38,0.61,0.3,0.18,0.85,0.21,0.8,0.15,0.82,0.79,0.71
CD19-CD45,0.43,0.31,0.07,0.86,0.17,0.78,0.14,0.93,0.83,0.69
CD19-CD58,0.55,0.26,0.2,0.84,0.26,0.8,0.16,0.8,0.74,0.71
